,Beras Medium,kg,13.500,13.500,0,
,Beras Premium,kg,15.000,15.000,0,
,Gula Pasir,kg,15.400,15.400,0,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.300,137.300,0,
,Daging Ayam Ras,kg,36.300,36.100,-0.55,
,Telur Ayam Ras,kg,29.600,29.600,0,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,42.900,42.800,-0.23,
,Cabe Rawit Merah,kg,47.300,48.100,1.69,
,Cabe Merah Besar,kg,42.400,42.400,0,
,Bawang Merah,kg,24.900,24.900,0,
,Bawang Putih Honan,kg,37.000,37.000,0,
