,Beras Medium,kg,13.700,13.700,0,
,Beras Premium,kg,15.100,15.100,0,
,Gula Pasir,kg,17.300,17.400,0.58,
,Minyak Goreng Kemasan Premium,Lt,20.600,20.600,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,136.700,136.100,-0.44,
,Daging Ayam Ras,kg,35.900,35.900,0,
,Telur Ayam Ras,kg,29.500,29.500,0,
,Tepung Terigu,kg,13.200,13.200,0,
,Kedelai Impor,kg,15.400,15.400,0,
,Cabe Merah Keriting,kg,66.900,65.600,-1.94,
,Cabe Rawit Merah,kg,91.700,90.900,-0.87,
,Cabe Merah Besar,kg,67.300,66.300,-1.49,
,Bawang Merah,kg,34.600,35.000,1.16,
,Bawang Putih Honan,kg,37.800,37.900,0.26,
