Beras Medium;Rp 0;Rp 0;0.00 %
Beras Premium;Rp 0;Rp 0;0.00 %
Gula Pasir Kemasan;Rp 0;Rp 0;0.00 %
Minyak Goreng Sawit Kemasan Premium;Rp 0;Rp 0;0.00 %
Minyak Goreng Sawit Curah;Rp 0;Rp 0;0.00 %
Minyakita;Rp 0;Rp 0;0.00 %
Daging Sapi Paha Belakang;Rp 0;Rp 0;0.00 %
Daging Ayam Ras;Rp 0;Rp 0;0.00 %
Telur Ayam Ras;Rp 0;Rp 0;0.00 %
Tepung Terigu;Rp 0;Rp 0;0.00 %
Kedelai Impor;Rp 0;Rp 0;0.00 %
Cabai Merah Keriting;Rp 0;Rp 0;0.00 %
Cabai Rawit Merah;Rp 0;Rp 0;0.00 %
Cabai Merah Besar;Rp 0;Rp 0;0.00 %
Bawang Merah;Rp 0;Rp 0;0.00 %
Bawang Putih Honan;Rp 0;Rp 0;0.00 %
