Beras Medium;Rp 14.600;Rp 14.700;0.68 %
Beras Premium;Rp 16.100;Rp 16.100;0.00 %
Gula Pasir Kemasan;Rp 18.400;Rp 18.500;0.54 %
Minyak Goreng Sawit Kemasan Premium;Rp 20.500;Rp 20.500;0.00 %
Minyak Goreng Sawit Curah;Rp 15.100;Rp 15.100;0.00 %
Minyakita;Rp 15.300;Rp 15.400;0.65 %
Daging Sapi Paha Belakang;Rp 136.700;Rp 136.500;-0.15 %
Daging Ayam Ras;Rp 37.800;Rp 37.900;0.26 %
Telur Ayam Ras;Rp 30.300;Rp 30.500;0.66 %
Tepung Terigu;Rp 13.100;Rp 13.100;0.00 %
Kedelai Impor;Rp 15.600;Rp 15.600;0.00 %
Cabai Merah Keriting;Rp 55.100;Rp 59.100;7.26 %
Cabai Rawit Merah;Rp 49.400;Rp 53.600;8.50 %
Cabai Merah Besar;Rp 61.200;Rp 63.400;3.59 %
Bawang Merah;Rp 36.000;Rp 36.600;1.67 %
Bawang Putih Honan;Rp 39.500;Rp 39.800;0.76 %
