Beras Medium;kg;13.900;14.000;0.72;
Beras Premium;kg;15.300;15.300;0;
Gula Pasir;kg;17.400;17.400;0;
Minyak Goreng Kemasan Premium;Lt;20.600;20.600;0;
Minyak Goreng Curah;Lt;14.700;14.700;0;
Minyak Goreng, MINYAKITA;Lt;15.100;15.100;0;
Daging Sapi Paha Belakang;kg;136.000;136.000;0;
Daging Ayam Ras;kg;36.200;36.300;0.28;
Telur Ayam Ras;kg;29.000;29.100;0.34;
Tepung Terigu;kg;13.200;13.200;0;
Kedelai Impor;kg;15.300;15.300;0;
Cabe Merah Keriting;kg;52.500;52.700;0.38;
Cabe Rawit Merah;kg;50.100;49.700;-0.8;
Cabe Merah Besar;kg;59.000;58.900;-0.17;
Bawang Merah;kg;38.000;37.900;-0.26;
Bawang Putih Honan;kg;39.600;39.700;0.25;
