Baru IPO, MPStore (MPIX) Gandeng Grup Salim, Lippo hingga MNC Penetrasi UMKM;https://market.bisnis.com/read/20240207/192/1739072/baru-ipo-mpstore-mpix-gandeng-grup-salim-lippo-hingga-mnc-penetrasi-umkm;Korporasi;07 Februari 2024 14:06                                                    WIB;Mitra Pedagang Indonesia (MPIX) atau MPStore menggandeng sejumlah korporasi seperti Grup Salim, Grup Lippo, hingga Grup MNC untuk memperluas penetrasi UMKM.
Bank INA (BINA) Gandeng Calon Emiten MPStore (MPIX) Penetrasi UMKM;https://market.bisnis.com/read/20240206/7/1738853/bank-ina-bina-gandeng-calon-emiten-mpstore-mpix-penetrasi-umkm;Bursa & Saham;06 Februari 2024 18:14                                                    WIB;Emiten perbankan Grup Salim, PT Bank INA Perdana Tbk. (BINA) menggandeng calon emiten MPStore (MPIX) untuk memperluas penetrasi sampai ke UMKM.
Manuver Induk NISP Eksplorasi Pasar Indonesia dan Asia Tenggara;https://market.bisnis.com/read/20240206/192/1738828/manuver-induk-nisp-eksplorasi-pasar-indonesia-dan-asia-tenggara;Korporasi;06 Februari 2024 17:13                                                    WIB;OCBC mengerek penyaluran kreditnya kepada UMKM pada 2023 lalu. Pada saat yang sama OCBC NISP baru saja mengumumkan rencana akuisisinya ke Bank Commonwealth.
Survei BRI: UMKM Yakin Usaha Tumbuh Pesat Jelang Pemilu 2024;https://finansial.bisnis.com/read/20240206/90/1738623/survei-bri-umkm-yakin-usaha-tumbuh-pesat-jelang-pemilu-2024;Perbankan;06 Februari 2024 08:48                                                    WIB;Berdasarkan survei yang digelar BRI (BBRI), UMKM merasa yakin usahanya akan tumbuh pesat jelang Pemilu 2024.
TikTok dan Tokopedia Fasilitasi Pinjaman Modal Usaha untuk Pelaku UMKM Batik;https://finansial.bisnis.com/read/20240205/89/1738489/tiktok-dan-tokopedia-fasilitasi-pinjaman-modal-usaha-untuk-pelaku-umkm-batik;Multifinance;05 Februari 2024 17:56                                                    WIB;Para pelaku UMKM difasilitasi pinjaman modal usaha oleh TikTok dan Tokopedia
Modalku, STACS dan IGCN Ajak UMKM Antisipasi Pelaporan ESG & Praktik Berkelanjutan 2024;https://hijau.bisnis.com/read/20240205/653/1738060/modalku-stacs-dan-igcn-ajak-umkm-antisipasi-pelaporan-esg-praktik-berkelanjutan-2024;ESG Investing;05 Februari 2024 02:34                                                    WIB;Modalku mengajak dan mendorong UMKM Indonesia untuk memulai pelaporan ESG dan praktik berkelanjutan.
UMKM Tak Punya Sertifikat Halal per 18 Oktober 2024, Siap-siap Kena Sanksi;https://ekonomi.bisnis.com/read/20240203/12/1737977/umkm-tak-punya-sertifikat-halal-per-18-oktober-2024-siap-siap-kena-sanksi;Trade;03 Februari 2024 16:54                                                    WIB;Apabila pelaku UMKM belum bersertifikasi halal pada 18 Oktober 2024, maka UMKM terancam dikenakan sanksi tidak bisa lagi mengedarkan produk ke masyarakat.
Bank Nagari Salurkan Pembiayaan UMKM Rp6,25 Triliun pada 2023;https://sumatra.bisnis.com/read/20240203/533/1737913/bank-nagari-salurkan-pembiayaan-umkm-rp625-triliun-pada-2023;Kabar Sumatra;03 Februari 2024 11:06                                                    WIB;Kinerja PT Bank Nagari sepanjang tahun 2023 di sektor penyaluran kredit/pembiayaan untuk pelaku UMKM menunjukan pertumbuhan yang positif.
Sebulan Kerja Sama, Tokopedia-TikTok Latih UMKM via Melokal dengan Batik;https://market.bisnis.com/read/20240202/192/1737503/sebulan-kerja-sama-tokopedia-tiktok-latih-umkm-via-melokal-dengan-batik;Korporasi;02 Februari 2024 09:00                                                    WIB;Sebagai wujud dari komitmen mendorong UMKM lokal, TikTok-Tokopedia sudah memperkenalkan program pemberdayaan UMKM melalui kampanye #MelokalDenganBatik
Produk UMKM Selangkau dari Kutai Timur Ekspor Perdana ke Singapura;https://kalimantan.bisnis.com/read/20240201/408/1737438/produk-umkm-selangkau-dari-kutai-timur-ekspor-perdana-ke-singapura;Bisnis Kalimantan;01 Februari 2024 15:07                                                    WIB;Desa Selangkau, Kecamatan Kaliorang, Kabupaten Kutai Timur, berhasil melakukan ekspor perdana produk turunan pisang ke Singapura.
