,Beras Medium,kg,13.200,13.300,0.76,
,Beras Premium,kg,14.900,15.000,0.67,
,Gula Pasir,kg,15.100,15.200,0.66,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.200,137.400,0.15,
,Daging Ayam Ras,kg,35.500,35.800,0.85,
,Telur Ayam Ras,kg,30.100,30.000,-0.33,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,38.800,40.700,4.9,
,Cabe Rawit Merah,kg,39.700,40.400,1.76,
,Cabe Merah Besar,kg,37.300,40.100,7.51,
,Bawang Merah,kg,25.100,25.000,-0.4,
,Bawang Putih Honan,kg,37.800,37.500,-0.79,
