,Beras Medium,kg,13.300,13.300,0,
,Beras Premium,kg,15.000,15.000,0,
,Gula Pasir,kg,15.200,15.200,0,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.400,137.400,0,
,Daging Ayam Ras,kg,35.800,35.800,0,
,Telur Ayam Ras,kg,30.000,29.900,-0.33,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,40.700,41.400,1.72,
,Cabe Rawit Merah,kg,40.400,41.300,2.23,
,Cabe Merah Besar,kg,40.100,40.100,0,
,Bawang Merah,kg,25.000,25.200,0.8,
,Bawang Putih Honan,kg,37.500,37.400,-0.27,
