BPJS Ketenagakerjaan Situbondo Bakal Sasar Kepesertaan Segmen UMKM;https://surabaya.bisnis.com/read/20240126/531/1735771/bpjs-ketenagakerjaan-situbondo-bakal-sasar-kepesertaan-segmen-umkm;Kabar Jatim;26 Januari 2024 14:23                                                    WIB;BPJS TK Situbondo membayarkan klaim untuk jaminan kematian 179 peserta dengan total Rp3,159 miliar pada 2023.
Smesco Catatkan Kinerja Positif pada 2023 usai Defisit selama Pandemi;https://ekonomi.bisnis.com/read/20240126/12/1735643/smesco-catatkan-kinerja-positif-pada-2023-usai-defisit-selama-pandemi;Trade;26 Januari 2024 00:20                                                    WIB;Kinerja positif Smesco pada 2023 ditopang dari pengelolaan aset sebagai sumber pendapatan.
Bos Smesco Akui Digitalisasi UMKM di Luar Jawa Sulit, Ini Penyebabnya;https://ekonomi.bisnis.com/read/20240125/12/1735517/bos-smesco-akui-digitalisasi-umkm-di-luar-jawa-sulit-ini-penyebabnya;Trade;25 Januari 2024 17:00                                                    WIB;Smesco Indonesia menyebut bebrapa penyebab digitalisasi UMKM di luar Pulau Jawa masih rendah.
Indef: Digitalisasi UMKM Luar Pulau Jawa Masih Terkendala Internet;https://ekonomi.bisnis.com/read/20240125/12/1735458/indef-digitalisasi-umkm-luar-pulau-jawa-masih-terkendala-internet;Trade;25 Januari 2024 14:41                                                    WIB;Indef menyebut digitalisasi UMKM di luar Pulau Jawa ternyata masih terkendala dengan jaringan internet.
Grup Modalku Kucurkan Pendanaan Rp55,7 Triliun ke 5,1 Juta UMKM sepanjang 2023;https://finansial.bisnis.com/read/20240124/563/1735102/grup-modalku-kucurkan-pendanaan-rp557-triliun-ke-51-juta-umkm-sepanjang-2023;Fintech;24 Januari 2024 15:12                                                    WIB;Hingga Desember 2023, industri UMKM yang paling banyak didanai oleh Modalku yaitu perdagangan, baik grosir dan eceran, termasuk pengusaha online.
TikTok Jalin Nusantara Targetkan Digitalisasi 500 UMKM;https://teknologi.bisnis.com/read/20240123/266/1734934/tiktok-jalin-nusantara-targetkan-digitalisasi-500-umkm;Startup;23 Januari 2024 22:40                                                    WIB;TikTok meluncurkan program Jalin Nusantara yang menyasar digitalisasi setidaknya 500 UMKM seluruh Indonesia.
Resmikan TikTok Jalin Nusantara, Sandi Uno Ingin UMKM Makin Terampil;https://teknologi.bisnis.com/read/20240123/266/1734814/resmikan-tiktok-jalin-nusantara-sandi-uno-ingin-umkm-makin-terampil;Startup;23 Januari 2024 16:00                                                    WIB;Sandiaga Uno meresmikan TikTok Jalin Nusantara, pelatihan di total 19 sentra ekonomi kreatif dan destinasi pariwisata di Indonesia agar UMKM makin terampil
LPEI Gandeng Biro Kredit CRIF untuk Memudahkan Seleksi UMKM;https://finansial.bisnis.com/read/20240122/90/1734478/lpei-gandeng-biro-kredit-crif-untuk-memudahkan-seleksi-umkm;Perbankan;22 Januari 2024 18:41                                                    WIB;Lembaga Pembiayaan Ekspor Indonesia (LPEI) menggandeng CRIF sebagai biro kredit dan informasi bisnis mitra di luar negeri.
Penyaluran KUR Fasilitasi di Pasuruan Tembus Rp1 Triliun;https://surabaya.bisnis.com/read/20240120/531/1734015/penyaluran-kur-fasilitasi-di-pasuruan-tembus-rp1-triliun;Kabar Jatim;20 Januari 2024 19:16                                                    WIB;Penyaluran KUR untuk UMKM Kab. Pasuruan lewat Cukur Kapas atau, Tim Percepatan Akses Keuangan Daerah Kabupaten Pasuruan tembus Rp1 triliun.
TikTok Hadirkan Pelatihan Digital untuk Ratusan Pelaku UMKM di Indonesia;https://teknologi.bisnis.com/read/20240119/266/1733843/tiktok-hadirkan-pelatihan-digital-untuk-ratusan-pelaku-umkm-di-indonesia;Startup;19 Januari 2024 18:01                                                    WIB;"TikTok hadirkan program ""Maju Bareng TikTok"" untuk memberikan edukasi digital kepada ratusan UMKM di Indonesia."
