Bey Machmudin Apresiasi Komitmen Bank BJB Dukung Sektor UMKM;https://bandung.bisnis.com/read/20240115/550/1732391/bey-machmudin-apresiasi-komitmen-bank-bjb-dukung-sektor-umkm;Bisnis Jabar;15 Januari 2024 14:33                                                    WIB;Bey mengapresiasi kinerja Bank BJB yang telah berkomitmen mendorong pertumbuhan ekonomi terhadap sektor UMKM.
OJK Beberkan Perkembangan Rencana Hapus Buku Kredit Macet UMKM;https://finansial.bisnis.com/read/20240114/90/1732075/ojk-beberkan-perkembangan-rencana-hapus-buku-kredit-macet-umkm;Perbankan;14 Januari 2024 16:34                                                    WIB;Otoritas Jasa Keuangan (OJK) mengabarkan perkembangan rencana penghapus bukuan dan penghapus tagihan kredit macet di usaha mikro, kecil, dan menengah (UMKM).
Platform Fintech Gandeng Tangan Bidik Penyaluran Kredit UMKM di Jatim Rp55 Miliar;https://surabaya.bisnis.com/read/20240113/532/1732011/platform-fintech-gandeng-tangan-bidik-penyaluran-kredit-umkm-di-jatim-rp55-miliar;Bisnis Jatim;13 Januari 2024 16:26                                                    WIB;Platform financial technology (fintech) Peer to Peer Lending (P2P Lending) Gandeng Tangan tahun ini menargetkan penyaluran kredit bagi UMKM di Jawa Timur.
Tips Bisnis agar UMKM Kantongi Cuan Lewat Data Driven;https://entrepreneur.bisnis.com/read/20240113/88/1731919/tips-bisnis-agar-umkm-kantongi-cuan-lewat-data-driven;Tips Bisnis;13 Januari 2024 09:09                                                    WIB;Tips bisnis agar usaha Anda bisa semakin sukses di TikTok yakni menggunakan pendekatan Data-Driven Decision Making yang terukur dan efektif.
Simak Cara Ganjar-Mahfud Dorong UMKM Naik Kelas;https://kabar24.bisnis.com/read/20240112/15/1731813/simak-cara-ganjar-mahfud-dorong-umkm-naik-kelas;Nasional;12 Januari 2024 18:00                                                    WIB;Mengangkat UMKM nasional ke level global merupakan salah satu keseriusan capres-cawapres Ganjar Pranowo dan Mahfud MD dalam mendorong UMKM naik kelas
Prabowo Beberkan Kelemahan BUMN Dibandingkan Dengan Swasta;https://kabar24.bisnis.com/read/20240112/15/1731724/prabowo-beberkan-kelemahan-bumn-dibandingkan-dengan-swasta;Nasional;12 Januari 2024 13:09                                                    WIB;Prabowo beberkan sejumlah kelemahan BUMN dibandingkan dengan swasta. Dia pun berencana menggenjot kerja sama antara BUMN, swasta, UMKM untuk genjot perekonomian
PENGUSAHA KENA PAJAK : Kebijakan Lunak Pajak Usaha Kecil;https://koran.bisnis.com/read/20240112/244/1731614/pengusaha-kena-pajak-kebijakan-lunak-pajak-usaha-kecil;Headline;12 Januari 2024 02:00                                                    WIB;Pelaku usaha mikro, kecil, dan menengah (UMKM) bisa bernapas dengan lega, setelah otoritas pajak merelaksasi ketentuan pelaporan soal pengukuhan status sebagai Pengusaha Kena Pajak (PKP).n
Begini Cara Ganjar Bikin UMKM Naik Kelas;https://kabar24.bisnis.com/read/20240111/15/1731447/begini-cara-ganjar-bikin-umkm-naik-kelas;Nasional;11 Januari 2024 15:29                                                    WIB;Ganjar Pranowo menjelaskan strategi untuk membuat UMKM naik kelas dan mampu bersaing di pasar global
Bebas Potongan PPh Final, Wajib Pajak OP UMKM Wajib Serahkan Surat Pernyataan;https://ekonomi.bisnis.com/read/20240110/259/1731228/bebas-potongan-pph-final-wajib-pajak-op-umkm-wajib-serahkan-surat-pernyataan;Pajak;10 Januari 2024 20:06                                                    WIB;Wajib pajak orang pribadi UMKM dengan omzet di bawah Rp500 juta harus menyampaikan surat pernyataan agar bisa dibebaskan dari pemotongan PPh final 0,5%.
Premi Tumbuh 20,97%, AAUI: Kontribusi dari Peran UMKM;https://finansial.bisnis.com/read/20240110/215/1731040/premi-tumbuh-2097-aaui-kontribusi-dari-peran-umkm;Asuransi;10 Januari 2024 13:04                                                    WIB;Ketua AAUI Budi Herawan mengatakan raihan premi yang dibukukan industri dikontribusi dari peran UMKM melalui kredit usaha rakyat (KUR).
