Beras Medium;Rp 14.500;Rp 14.500;0.00 %
Beras Premium;Rp 15.800;Rp 15.800;0.00 %
Gula Pasir Kemasan;Rp 18.400;Rp 18.400;0.00 %
Minyak Goreng Sawit Kemasan Premium;Rp 20.500;Rp 20.600;0.49 %
Minyak Goreng Sawit Curah;Rp 15.100;Rp 15.100;0.00 %
Minyakita;Rp 15.300;Rp 15.300;0.00 %
Daging Sapi Paha Belakang;Rp 136.700;Rp 136.700;0.00 %
Daging Ayam Ras;Rp 37.200;Rp 37.500;0.81 %
Telur Ayam Ras;Rp 29.900;Rp 30.400;1.67 %
Tepung Terigu;Rp 13.100;Rp 13.100;0.00 %
Kedelai Impor;Rp 15.700;Rp 15.600;-0.64 %
Cabai Merah Keriting;Rp 52.800;Rp 52.900;0.19 %
Cabai Rawit Merah;Rp 45.300;Rp 45.100;-0.44 %
Cabai Merah Besar;Rp 59.800;Rp 60.700;1.51 %
Bawang Merah;Rp 36.700;Rp 36.900;0.54 %
Bawang Putih Honan;Rp 39.700;Rp 39.700;0.00 %
