,Beras Medium,kg,13.600,13.600,0,
,Beras Premium,kg,15.100,15.100,0,
,Gula Pasir,kg,16.000,16.100,0.63,
,Minyak Goreng Kemasan Premium,Lt,20.600,20.600,0,
,Minyak Goreng Curah,Lt,14.400,14.400,0,
,"Minyak Goreng, MINYAKITA",Lt,15.000,15.100,0.67,
,Daging Sapi Paha Belakang,kg,137.200,137.200,0,
,Daging Ayam Ras,kg,35.600,35.700,0.28,
,Telur Ayam Ras,kg,29.100,29.100,0,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.200,15.200,0,
,Cabe Merah Keriting,kg,56.800,57.900,1.94,
,Cabe Rawit Merah,kg,72.500,73.300,1.1,
,Cabe Merah Besar,kg,49.300,50.200,1.83,
,Bawang Merah,kg,25.500,25.900,1.57,
,Bawang Putih Honan,kg,36.900,37.000,0.27,
