,Beras Medium,kg,13.100,13.100,0,
,Beras Premium,kg,14.800,14.800,0,
,Gula Pasir,kg,15.000,15.000,0,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.300,137.200,-0.07,
,Daging Ayam Ras,kg,35.700,35.500,-0.56,
,Telur Ayam Ras,kg,30.200,30.300,0.33,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,38.300,38.400,0.26,
,Cabe Rawit Merah,kg,39.500,39.700,0.51,
,Cabe Merah Besar,kg,37.900,37.700,-0.53,
,Bawang Merah,kg,25.400,25.200,-0.79,
,Bawang Putih Honan,kg,37.600,37.700,0.27,
