,Beras Medium,kg,12.900,13.000,0.78,
,Beras Premium,kg,14.700,14.700,0,
,Gula Pasir,kg,14.900,14.900,0,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.400,137.400,0,
,Daging Ayam Ras,kg,35.900,35.900,0,
,Telur Ayam Ras,kg,30.400,30.300,-0.33,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,39.200,39.100,-0.26,
,Cabe Rawit Merah,kg,39.400,39.200,-0.51,
,Cabe Merah Besar,kg,39.200,38.400,-2.04,
,Bawang Merah,kg,25.900,25.900,0,
,Bawang Putih Honan,kg,38.100,38.000,-0.26,
