Beras Medium;Rp 14.900;Rp 15.000;0.67 %
Beras Premium;Rp 16.500;Rp 16.500;0.00 %
Gula Pasir Kemasan;Rp 18.600;Rp 18.600;0.00 %
Minyak Goreng Sawit Kemasan Premium;Rp 20.600;Rp 20.600;0.00 %
Minyak Goreng Sawit Curah;Rp 15.300;Rp 15.300;0.00 %
Minyakita;Rp 15.400;Rp 15.400;0.00 %
Daging Sapi Paha Belakang;Rp 136.600;Rp 136.700;0.07 %
Daging Ayam Ras;Rp 37.700;Rp 37.900;0.53 %
Telur Ayam Ras;Rp 30.600;Rp 30.600;0.00 %
Tepung Terigu;Rp 13.100;Rp 13.100;0.00 %
Kedelai Impor;Rp 15.600;Rp 15.600;0.00 %
Cabai Merah Keriting;Rp 65.000;Rp 66.200;1.85 %
Cabai Rawit Merah;Rp 66.100;Rp 66.500;0.61 %
Cabai Merah Besar;Rp 69.800;Rp 70.700;1.29 %
Bawang Merah;Rp 36.900;Rp 36.700;-0.54 %
Bawang Putih Honan;Rp 40.000;Rp 39.800;-0.50 %
