,Beras Medium,kg,13.000,13.000,0,
,Beras Premium,kg,14.700,14.800,0.68,
,Gula Pasir,kg,14.900,15.000,0.67,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.400,137.200,-0.15,
,Daging Ayam Ras,kg,35.900,35.700,-0.56,
,Telur Ayam Ras,kg,30.300,30.300,0,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,39.100,38.700,-1.02,
,Cabe Rawit Merah,kg,39.200,39.500,0.77,
,Cabe Merah Besar,kg,38.400,38.000,-1.04,
,Bawang Merah,kg,25.900,25.600,-1.16,
,Bawang Putih Honan,kg,38.000,37.900,-0.26,
