,Beras Medium,kg,13.600,13.600,0,
,Beras Premium,kg,15.100,15.100,0,
,Gula Pasir,kg,15.500,15.500,0,
,Minyak Goreng Kemasan Premium,Lt,20.700,20.700,0,
,Minyak Goreng Curah,Lt,14.500,14.500,0,
,"Minyak Goreng, MINYAKITA",Lt,15.100,15.100,0,
,Daging Sapi Paha Belakang,kg,137.300,137.400,0.07,
,Daging Ayam Ras,kg,36.500,36.500,0,
,Telur Ayam Ras,kg,29.500,29.500,0,
,Tepung Terigu,kg,13.300,13.300,0,
,Kedelai Impor,kg,15.100,15.100,0,
,Cabe Merah Keriting,kg,44.200,43.700,-1.13,
,Cabe Rawit Merah,kg,52.500,52.800,0.57,
,Cabe Merah Besar,kg,43.100,42.000,-2.55,
,Bawang Merah,kg,25.100,25.300,0.8,
,Bawang Putih Honan,kg,37.100,37.300,0.54,
